,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,optimizer,mapping,ansatz,rotation blocks,entanglement_blocks,entanglement,repetitions,skip_final_rotation_layer,energy (Ha),error (mHa),pass,# of parameters,final parameters,# of evaluations,optimizer time,# of qubits,# of CNOTs,score
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COBYLA,JordanWignerMapper,TwoLocal,"['ry', 'rz']",cx,full,3.0,True,-1.8533628495566552,0.0007691153811606,True,24,"[ 2.25391031e-01 -3.97793089e-04 -1.87816537e-02  9.18269204e-01
  2.28663219e-01 -1.89898562e-01  3.92475361e-01 -4.39816238e-04
  3.14164574e+00  3.84029863e-03  2.18628535e-01 -1.76295427e-04
 -3.19808985e-01  1.18225593e+00  1.05365850e+00  5.69699467e-01
  3.81620256e-03 -2.36055854e-01  2.25795149e-01  2.10043831e-01
  2.87211763e-01  3.63888962e-01 -6.15546851e-05 -2.31206727e-04]",500,5.075268268585205,4,18,18
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,COBYLA,JordanWignerMapper,TwoLocal,"['ry', 'rz']",cx,full,3.0,True,-1.8533628495566552,0.0007691153811606,True,24,"[ 2.25391031e-01 -3.97793089e-04 -1.87816537e-02  9.18269204e-01
  2.28663219e-01 -1.89898562e-01  3.92475361e-01 -4.39816238e-04
  3.14164574e+00  3.84029863e-03  2.18628535e-01 -1.76295427e-04
 -3.19808985e-01  1.18225593e+00  1.05365850e+00  5.69699467e-01
  3.81620256e-03 -2.36055854e-01  2.25795149e-01  2.10043831e-01
  2.87211763e-01  3.63888962e-01 -6.15546851e-05 -2.31206727e-04]",500,5.075268268585205,4,18,18
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,COBYLA,JordanWignerMapper,UCCSD,,,,,,-1.853363612992184,5.679852810303032e-06,True,3,[-5.13300224e-05 -4.98907094e-05 -1.12600310e-01],46,0.596060037612915,4,56,56
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,,,,L_BFGS_B,JordanWignerMapper,UCCSD,,,,,,-1.8533636186712288,8.05133737458163e-10,True,3,[-1.28639517e-07 -2.41709851e-07 -1.12578720e-01],24,0.3891935348510742,4,56,56
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,,,,,L_BFGS_B,JordanWignerMapper,QuantumCircuit,,,,,,-1.2456221007716797,607.7415179003609,False,1,[0.01],2,0.0234229564666748,4,3,3
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,,,,,,L_BFGS_B,JordanWignerMapper,TwoLocal,"['ry', 'rz']",cx,full,3.0,True,-1.6777156052047808,175.64801346725756,False,24,"[-1.84080863e-01 -9.98582377e-02 -1.47339135e-01  1.28937847e-02
  1.26653774e-02  8.52582579e-03  8.48933712e-03 -4.56295711e-03
  3.26734418e+00  1.44052383e-01  1.29366357e-01 -9.87139924e-02
  9.43492484e-03  9.99449621e-03  7.38384887e-03  9.99709315e-03
  2.97058153e-01  1.56785022e-01  1.13170580e-02  1.01143409e-02
  8.62326231e-03  9.94947997e-03  2.67647600e-03 -4.06563244e-01]",525,5.419645547866821,4,18,18
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,,,,,,L_BFGS_B,JordanWignerMapper,UCCSD,,,,,,-1.8533636186712288,8.09130540346814e-10,True,3,[-1.28639517e-07 -2.41709851e-07 -1.12578720e-01],24,0.3369123935699463,4,56,56
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,,,,,,,,L_BFGS_B,JordanWignerMapper,UCCSD,,,,,,-8.908073569172622,0.6235472516653573,True,92,"[-8.88870670e-04 -1.32055052e-03 -1.04058431e-03  9.03305799e-03
  6.40514953e-03  6.59349995e-03  2.92995205e-03 -1.23375376e-03
 -1.23395359e-03 -1.55215923e-03 -4.30207267e-03 -1.36315318e-03
 -3.21086884e-04 -3.22222577e-04 -3.21074715e-04 -8.59072453e-04
 -1.09650374e-03 -1.09665815e-03 -8.99087516e-04 -1.04271371e-03
 -7.69172914e-04 -3.21125063e-04 -1.32096681e-03 -2.25854134e-03
 -3.83780231e-04 -2.31821968e-04 -1.08100434e-03 -4.29079756e-03
 -1.09380508e-03 -7.60543292e-04 -7.69198354e-04 -3.22043201e-04
 -3.83829630e-04 -1.04182240e-03 -2.25799376e-03 -2.31259577e-04
 -1.07983050e-03 -1.01210617e-03 -4.28968230e-03 -7.62013683e-04
 -3.26136218e-04 -2.33384459e-04 -2.32026851e-04  6.92043204e-04
  9.02917132e-03 -1.53177163e-03 -6.45732935e-04 -6.46888724e-04
 -9.36200719e-05 -8.58491729e-04 -1.08071616e-03 -1.07960218e-03
 -1.53203800e-03 -1.78217255e-02  6.01955960e-04  6.40282280e-03
  5.97609755e-04  4.27359667e-02 -1.09844442e-03 -4.29652989e-03
 -1.01467127e-03 -6.48617041e-04  6.04183317e-04 -2.35938047e-02
  1.99255893e-03  2.37037944e-03  6.59639013e-03 -1.09928708e-03
 -1.09582441e-03 -4.29686240e-03 -6.50915331e-04  5.98522691e-04
  1.98972777e-03 -2.35938123e-02  2.38687902e-03 -9.01984892e-04
 -7.63525264e-04  2.93753366e-03 -7.66054337e-04 -9.81724266e-05
  4.27409481e-02  2.37200506e-03  2.38986333e-03 -1.17122207e-01
 -1.24796059e-03 -1.24773913e-03 -1.57785098e-03 -1.05882660e-03
 -8.88968669e-04 -7.88324070e-04 -7.89035410e-04 -1.36329845e-03]",651,465.1226718425751,12,8064,8064
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,,,,,,,,L_BFGS_B,JordanWignerMapper,UCCSD,,,,,,-8.908073569172622,0.6235472516653573,True,92,"[-8.88870670e-04 -1.32055052e-03 -1.04058431e-03  9.03305799e-03
  6.40514953e-03  6.59349995e-03  2.92995205e-03 -1.23375376e-03
 -1.23395359e-03 -1.55215923e-03 -4.30207267e-03 -1.36315318e-03
 -3.21086884e-04 -3.22222577e-04 -3.21074715e-04 -8.59072453e-04
 -1.09650374e-03 -1.09665815e-03 -8.99087516e-04 -1.04271371e-03
 -7.69172914e-04 -3.21125063e-04 -1.32096681e-03 -2.25854134e-03
 -3.83780231e-04 -2.31821968e-04 -1.08100434e-03 -4.29079756e-03
 -1.09380508e-03 -7.60543292e-04 -7.69198354e-04 -3.22043201e-04
 -3.83829630e-04 -1.04182240e-03 -2.25799376e-03 -2.31259577e-04
 -1.07983050e-03 -1.01210617e-03 -4.28968230e-03 -7.62013683e-04
 -3.26136218e-04 -2.33384459e-04 -2.32026851e-04  6.92043204e-04
  9.02917132e-03 -1.53177163e-03 -6.45732935e-04 -6.46888724e-04
 -9.36200719e-05 -8.58491729e-04 -1.08071616e-03 -1.07960218e-03
 -1.53203800e-03 -1.78217255e-02  6.01955960e-04  6.40282280e-03
  5.97609755e-04  4.27359667e-02 -1.09844442e-03 -4.29652989e-03
 -1.01467127e-03 -6.48617041e-04  6.04183317e-04 -2.35938047e-02
  1.99255893e-03  2.37037944e-03  6.59639013e-03 -1.09928708e-03
 -1.09582441e-03 -4.29686240e-03 -6.50915331e-04  5.98522691e-04
  1.98972777e-03 -2.35938123e-02  2.38687902e-03 -9.01984892e-04
 -7.63525264e-04  2.93753366e-03 -7.66054337e-04 -9.81724266e-05
  4.27409481e-02  2.37200506e-03  2.38986333e-03 -1.17122207e-01
 -1.24796059e-03 -1.24773913e-03 -1.57785098e-03 -1.05882660e-03
 -8.88968669e-04 -7.88324070e-04 -7.89035410e-04 -1.36329845e-03]",651,465.1226718425751,12,8064,8064
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,,,,,,,,,,L_BFGS_B,JordanWignerMapper,UCCSD,,,,,,-8.908073569172622,0.6235472516653573,True,92,"[-8.88870670e-04 -1.32055052e-03 -1.04058431e-03  9.03305799e-03
  6.40514953e-03  6.59349995e-03  2.92995205e-03 -1.23375376e-03
 -1.23395359e-03 -1.55215923e-03 -4.30207267e-03 -1.36315318e-03
 -3.21086884e-04 -3.22222577e-04 -3.21074715e-04 -8.59072453e-04
 -1.09650374e-03 -1.09665815e-03 -8.99087516e-04 -1.04271371e-03
 -7.69172914e-04 -3.21125063e-04 -1.32096681e-03 -2.25854134e-03
 -3.83780231e-04 -2.31821968e-04 -1.08100434e-03 -4.29079756e-03
 -1.09380508e-03 -7.60543292e-04 -7.69198354e-04 -3.22043201e-04
 -3.83829630e-04 -1.04182240e-03 -2.25799376e-03 -2.31259577e-04
 -1.07983050e-03 -1.01210617e-03 -4.28968230e-03 -7.62013683e-04
 -3.26136218e-04 -2.33384459e-04 -2.32026851e-04  6.92043204e-04
  9.02917132e-03 -1.53177163e-03 -6.45732935e-04 -6.46888724e-04
 -9.36200719e-05 -8.58491729e-04 -1.08071616e-03 -1.07960218e-03
 -1.53203800e-03 -1.78217255e-02  6.01955960e-04  6.40282280e-03
  5.97609755e-04  4.27359667e-02 -1.09844442e-03 -4.29652989e-03
 -1.01467127e-03 -6.48617041e-04  6.04183317e-04 -2.35938047e-02
  1.99255893e-03  2.37037944e-03  6.59639013e-03 -1.09928708e-03
 -1.09582441e-03 -4.29686240e-03 -6.50915331e-04  5.98522691e-04
  1.98972777e-03 -2.35938123e-02  2.38687902e-03 -9.01984892e-04
 -7.63525264e-04  2.93753366e-03 -7.66054337e-04 -9.81724266e-05
  4.27409481e-02  2.37200506e-03  2.38986333e-03 -1.17122207e-01
 -1.24796059e-03 -1.24773913e-03 -1.57785098e-03 -1.05882660e-03
 -8.88968669e-04 -7.88324070e-04 -7.89035410e-04 -1.36329845e-03]",651,465.1226718425751,10,1616,1616
